Points,Question,Slug,InProgress,Solved
3,3190. Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,,false
3,1137. N-th Tribonacci Number,n-th-tribonacci-number,,false
3,3184. Count Pairs That Form a Complete Day I,count-pairs-that-form-a-complete-day-i,,false
3,1290. Convert Binary Number in a Linked List to Integer,convert-binary-number-in-a-linked-list-to-integer,,false
3,1460. Make Two Arrays Equal by Reversing Sub-arrays,make-two-arrays-equal-by-reversing-subarrays,,false
3,2351. First Letter to Appear Twice,first-letter-to-appear-twice,,false
3,1920. Build Array from Permutation,build-array-from-permutation,,false
3,1512. Number of Good Pairs,number-of-good-pairs,,false
3,771. Jewels and Stones,jewels-and-stones,,false
3,1768. Merge Strings Alternately,merge-strings-alternately,,false
3,1832. Check if the Sentence Is Pangram,check-if-the-sentence-is-pangram,,false
3,1304. Find N Unique Integers Sum up to Zero,find-n-unique-integers-sum-up-to-zero,,false
3,2441. Largest Positive Integer That Exists With Its Negative,largest-positive-integer-that-exists-with-its-negative,,false
3,2960. Count Tested Devices After Test Operations,count-tested-devices-after-test-operations,,false
3,3158. Find the XOR of Numbers Which Appear Twice,find-the-xor-of-numbers-which-appear-twice,,false
3,1046. Last Stone Weight,last-stone-weight,,false
3,1431. Kids With the Greatest Number of Candies,kids-with-the-greatest-number-of-candies,,false
3.01,905. Sort Array By Parity,sort-array-by-parity,,false
3.01,1441. Build an Array With Stack Operations,build-an-array-with-stack-operations,,false
3.01,1122. Relative Sort Array,relative-sort-array,,false
3.01,1436. Destination City,destination-city,,false
3.01,2810. Faulty Keyboard,faulty-keyboard,,false
3.01,1207. Unique Number of Occurrences,unique-number-of-occurrences,,false
3.01,997. Find the Town Judge,find-the-town-judge,,false
3.01,1160. Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,,false
3.02,973. K Closest Points to Origin,k-closest-points-to-origin,,false
3.02,3005. Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,,false
3.02,1221. Split a String in Balanced Strings,split-a-string-in-balanced-strings,,false
3.03,844. Backspace String Compare,backspace-string-compare,,false
3.03,2864. Maximum Odd Binary Number,maximum-odd-binary-number,,false
3.03,1422. Maximum Score After Splitting a String,maximum-score-after-splitting-a-string,,false
3.04,1518. Water Bottles,water-bottles,,false
3.04,2016. Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,,false
3.04,1232. Check If It Is a Straight Line,check-if-it-is-a-straight-line,,false
3.04,1903. Largest Odd Number in String,largest-odd-number-in-string,,false
3.04,2279. Maximum Bags With Full Capacity of Rocks,maximum-bags-with-full-capacity-of-rocks,,false
3.04,2540. Minimum Common Value,minimum-common-value,,false
3.04,1161. Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,,false
3.05,1356. Sort Integers by The Number of 1 Bits,sort-integers-by-the-number-of-1-bits,,false
3.05,1456. Maximum Number of Vowels in a Substring of Given Length,maximum-number-of-vowels-in-a-substring-of-given-length,,false
3.07,2582. Pass the Pillow,pass-the-pillow,,false
3.07,2125. Number of Laser Beams in a Bank,number-of-laser-beams-in-a-bank,,false
3.07,1481. Least Number of Unique Integers after K Removals,least-number-of-unique-integers-after-k-removals,,false
3.07,872. Leaf-Similar Trees,leaf-similar-trees,,false
3.08,1769. Minimum Number of Operations to Move All Balls to Each Box,minimum-number-of-operations-to-move-all-balls-to-each-box,,false
